,AX,BX,NX,EX,EPX,Element,Length,Value,s(m),AY,BY,NY,EY,EPY,DetR,#,DX,DPX,DY,DPY,BeamSizeXm,BeamSizeYm
MSDX.12,0.18652,0.99012,3.2025,0.77004,-0.01636,MSDX.12,3.30033,-0.3617,171.893519,-9.0753,45.5423,3.68432,-0.02373,0.00079,-3e-09,149.0,-0.0002,0.00043,0.0026,0.00052,0.0006358848164217529,0.003454550715666963
LFT71,-6.8131,17.0334,3.41767,1.29674,0.36625,LFT71,1.1,1.0999992,175.193847,9.21737,44.7094,3.69373,-0.00853,0.00749,-7e-10,150.0,0.0013,0.00061,0.0026,-0.0005,0.0022580279370032984,0.0034198222612642163
MSFX.12,-9.8753,35.3908,3.4248,1.69894,0.36625,MSFX.12,3.30037,0.3617,176.293846,7.10247,26.7576,3.6988,0.000299,0.00749,-7e-10,151.0,0.002,0.00061,0.002,-0.0005,0.0032207438876822,0.002644360791536877
LFT72,7.12899,51.3806,3.43476,1.8321,-0.29314,LFT72,1.40012,1.4001171,179.594214,-0.1514,9.90535,3.73841,0.03169,0.01276,-6e-10,152.0,0.0026,-0.0003,0.0011,-3e-05,0.0038377118061227256,0.001615212277548306
SCCELLIN13,5.71683,33.395,3.44014,1.42211,-0.29314,SCCELLIN13,0.0,0.0,180.994331,-0.29599,10.5317,3.7603,0.0496,0.01276,-6e-10,153.0,0.0021,-0.0003,0.0011,-3e-05,0.0030829663723412927,0.0016688852292298197
LFT73,5.71683,33.395,3.44014,1.42211,-0.29314,LFT73,1.40012,1.4001171,180.994331,-0.29599,10.5317,3.7603,0.0496,0.01276,-6e-10,154.0,0.0021,-0.0003,0.0011,-3e-05,0.0030829663723412927,0.0016688852292298197
MSDX.13,4.30468,19.3637,3.44891,1.01213,-0.29314,MSDX.13,3.30033,-0.3617,182.394448,-0.44058,11.563,3.78054,0.06751,0.01276,-6e-10,155.0,0.0017,-0.0003,0.001,-3e-05,0.002333436979166994,0.0017517941567413353
LFT74,-1.3257,12.1515,3.49099,0.59023,0.01353,LFT74,1.1,1.0999992,185.694777,1.69726,4.22877,3.84287,0.06549,-0.01426,4e-10,156.0,0.0015,0.0002,0.00038,-0.0003,0.0018061817951826142,0.0010643189162638403
MSFX.13,-1.5753,15.3427,3.50383,0.6049,0.01353,MSFX.13,3.30037,0.3617,186.794776,0.6878,1.6052,3.91224,0.05016,-0.01426,4e-10,157.0,0.0017,0.0002,2.4e-05,-0.0003,0.0020178720593109784,0.0006576996017252914
LFT75,2.71858,8.68718,3.54093,0.39061,-0.13091,LFT75,1.01745,1.0174546,190.095143,-4.1611,10.0259,4.16633,0.02731,-0.00163,2.1e-09,158.0,0.0013,-0.0004,-0.0012,-0.0005,0.0015054734553312686,0.0016241014854836758
ESM14,1.73585,4.155,3.56802,0.25784,-0.13091,ESM14,0.0,0.0,191.112598,-6.0198,20.3847,4.17766,0.02618,-0.00163,2.1e-09,159.0,0.00089,-0.0004,-0.0018,-0.0005,0.0010387042723672966,0.0023132553992061956
LFT76,1.73585,4.155,3.56802,0.25784,-0.13091,LFT76,0.38266,0.3826625,191.112598,-6.0198,20.3847,4.17766,0.02618,-0.00163,2.1e-09,160.0,0.00089,-0.0004,-0.0018,-0.0005,0.0010387042723672966,0.0023132553992061956
SSEM13,1.36625,2.96794,3.5854,0.20791,-0.13091,SSEM13,0.0,0.0,191.49526,-6.7189,25.2594,4.18035,0.02575,-0.00163,2.1e-09,161.0,0.00073,-0.0004,-0.002,-0.0005,0.0008758755663431764,0.0025743537871853656
LFT77,1.36625,2.96794,3.5854,0.20791,-0.13091,LFT77,1.40012,1.4001171,191.49526,-6.7189,25.2594,4.18035,0.02575,-0.00163,2.1e-09,162.0,0.00073,-0.0004,-0.002,-0.0005,0.0008758755663431764,0.0025743537871853656
MSDX.14,0.01392,1.03554,3.73262,0.02521,-0.13091,MSDX.14,3.30033,-0.3617,192.895377,-9.2766,47.6551,4.18677,0.02419,-0.00163,2.1e-09,163.0,0.00015,-0.0004,-0.0027,-0.0005,0.0004978458584887077,0.003533757606645312
LFT78,-7.0935,18.1748,3.92018,-0.392,-0.14646,LFT78,1.1,1.0999992,196.195706,9.62593,45.6209,4.19589,0.00644,-0.008,-3e-09,164.0,-0.0014,-0.0006,-0.0026,0.00056,0.002142956763350959,0.0034540700653761724
MSFX.14,-10.199,37.1971,3.92691,-0.55242,-0.14646,MSFX.14,3.30037,0.3617,197.295705,7.36766,26.928,4.20088,-0.00298,-0.008,-3e-09,165.0,-0.0021,-0.0006,-0.002,0.00056,0.003064048127765163,0.0026533018620599567
LFT79,7.51175,52.8398,3.93649,-0.56664,0.13836,LFT79,2.39862,2.3986221,200.596073,0.04784,8.9515,4.24246,-0.03822,-0.01475,-8e-09,166.0,-0.0026,0.00034,-0.0011,6.4e-05,0.0036335674048301957,0.0015370927291148849
CT04,4.90493,23.0569,3.94744,-0.23557,0.13836,CT04,0.0,0.0,202.994695,-0.22073,9.3662,4.28464,-0.07376,-0.01475,-8e-09,167.0,-0.0018,0.00034,-0.0009,6.4e-05,0.0023724851735816427,0.0015792269270922708
