element            , elementID, length  , mark, type      , aperture_type, aperture_x, aperture_y, angle    , polelength, tilt     , zref, survey_offset               , geometry, blm, blm_offset_x, blm_offset_y, blm_offset_s, blm_orientation
BFV1               , 11       , 1550    , 745 , rbend     , rectangular  ,   180     ,        104, 0        ,       1000, 1.5707963, NA  , [[-465 0 580] [465 0 580]]  , true    ,   0,            0,            0,            0,               0
IPF1               , 12       ,  550    , NA  , drift     , circular     ,   190     ,          0, 0        ,          0, 0        , 0   , NA                          , true    ,   0,            0,            0,            0,               0
BFH1               , 13       , 1550    , 745 , rbend     , rectangular  ,   180     ,        104, 0        ,       1000, 0        , NA  , [[-465 0 317] [465 0 317]]  , true    ,   0,            0,            0,            0,               0
IPF2               , 14       ,  400    , NA  , drift     , circular     ,   190     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
ESM16              , 15       ,  126    , 63  , drift     , circular     ,   178     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
BIF_pump_duct      , 16       , 1820    , NA  , drift     , circular     ,   203     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
BIF_bellows_u      , 17       ,  310    , NA  , drift     , circular     ,   210     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
BIF                , 18       ,  170    , 165 , drift     , circular     ,   203     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
BIF_bellows_d      , 19       ,  310    , NA  , drift     , circular     ,   210     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
BIF_gas_inlet      , 20       ,  384    , NA  , drift     , circular     ,   203     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
BIF_window         , 21       ,  900    , NA  , drift     , circular     ,   203     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
BFV2               , 22       , 1470    , 735 , rbend     , circular     ,   164     ,          0, 0        ,        750, 1.5707963, NA  , [[-340 0 1210] [340 0 1210]], true    ,   0,            0,            0,            0,               0
bellows_FV2d       , 23       ,  243    , NA  , drift     , circular     ,   195     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
SSEM15             , 24       ,  170    , 85  , ssem      , circular     ,   205     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
ESM17              , 25       ,  126    , 63  , drift     , circular     ,   178     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
bellows_FQ2u       , 26       ,  140    , NA  , drift     , circular     ,   195     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
QFQ2               , 27       , 3130    , 1536, quadrupole, rectangular  ,   204     ,        120, 0        ,       2500, 0        , NA  , [[-1215 0 525] [1215 0 525]], true    ,   0,            0,            0,            0,               0
ion_pump_3_ff      , 28       ,  200    , NA  , drift     , circular     ,   190     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
FCV2u_ff           , 29       ,   90    , NA  , drift     , circular     ,   195     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
FCV2_ff            , 30       ,  300    , NA  , drift     , circular     ,   200     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
FCV2d_ff           , 31       ,  200    , NA  , drift     , circular     ,   190     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
ion_pump_4_ff      , 32       ,  400    , NA  , drift     , circular     ,   190     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
bellows_FQ3u       , 33       ,  230    , NA  , drift     , circular     ,   190     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
QFQ3               , 34       , 3130    , 1536, quadrupole, rectangular  ,   204     ,        120, 0        ,       2500, 0        , NA  , [[-1215 0 525] [1215 0 525]], true    ,   0,            0,            0,            0,               0
bellows_FQ3d       , 35       ,  223    , NA  , drift     , circular     ,   195     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
ESM18              , 36       ,  126    , 63  , drift     , circular     ,   178     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
SSEM16             , 37       ,  170    , 85  , ssem      , circular     ,   205     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
bellows_FH2u       , 38       ,  223    , NA  , drift     , circular     ,   195     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
BFH2               , 39       , 1470    , 714 , rbend     , circular     ,   164     ,          0, 0        ,        750, 0        , NA  , [[-340 0 715] [340 0 715]]  , true    ,   0,            0,            0,            0,               0
bellows_FH2d       , 40       ,  386    , NA  , drift     , circular     ,   195     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
BFVD1              , 41       , 2730    , 1278, sbend     , rectangular  ,   210     ,        104, 0.0253535,       2000, 1.5707963, NA  , [[-965 0 755] [965 0 755]]  , true    ,   0,            0,            0,            0,               0
bellows_FVD1d      , 42       ,  261    , NA  , drift     , circular     ,   195     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
QFQ4               , 43       , 2120    , 1037, quadrupole, rectangular  ,   204     ,        120, 0        ,       1500, 0        , NA  , [[-715 0 475] [715 0 475]]  , true    ,   0,            0,            0,            0,               0
bellows_FQ4d       , 44       ,  140    , NA  , drift     , circular     ,   195     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
SSEM17             , 45       ,  170    , 85  , ssem      , circular     ,   205     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
ESM19              , 46       ,  126    , 63  , drift     , circular     ,   178     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
bellows_FVD2u      , 47       ,  127    , NA  , drift     , circular     ,   195     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
BFVD2              , 48       , 3180    , 1652, sbend     , rectangular  ,   210     ,        104, 0.0334178,       2500, 1.5707963, NA  , [[-1215 0 755] [1215 0 755]], true    ,   0,            0,            0,            0,               0
bellows_FVD2d      , 49       ,  218    , NA  , drift     , circular     ,   195     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
ESM20              , 50       ,  126    , 63  , drift     , circular     ,   178     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
WSEM18             , 51       ,  170    , 85  , wsem      , circular     ,   205     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
CT5                , 52       ,  200    , NA  , drift     , circular     ,   190     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
bellows_GV2u_ff    , 53       ,  208    , NA  , drift     , circular     ,   190     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
duct_bellows       , 54       ,  145    , NA  , drift     , circular     ,   190     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
GV2_ff             , 55       ,  140    , NA  , drift     , circular     ,   200     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
bellows_GV2d_ff    , 56       ,  245    , NA  , drift     , circular     ,   195     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
bent_duct          , 57       ,  294    , NA  , drift     , circular     ,   190     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
conversion_flange  , 58       ,   30    , NA  , drift     , circular     ,   240     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
pillow_flange      , 59       ,   30.5  , NA  , drift     , circular     ,   240     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
pillow_seal        , 60       ,  134.5  , NA  , drift     , circular     ,   240     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
SSEM19             , 61       ,  170    , 85  , ssem      , circular     ,   240     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
he_vessel          , 62       , 2760    , NA  , drift     , circular     ,  300     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
otr                , 63       ,    1    , 0.5   , ssem      , circular     ,  300     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
he_vessel_after_otr, 64       ,  768    , NA  , drift     , circular     ,  300     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
t2k_target         , 65       , 900    , NA  , dump      , circular     ,   300     ,          0, 0        ,          0, 0        , 0   , 0                           , true    ,   0,            0,            0,            0,               0
